judge,feature,accuracy,kappa,n
GPT-4o (standard),explicit_nc,0.9342,0.4099,76
GPT-4o (standard),implicit_nc,0.9342,0.4099,76
GPT-4o (standard),apology,0.9737,0.9242,76
GPT-4o (standard),hedge,1.0,1.0,76
GPT-4o (standard),explanatory_preface,0.7237,0.1635,76
GPT-4o (standard),positive_alignment,0.9474,0.0,76
GPT-4o (standard),solidarity,0.9605,0.7489,76
GPT-4o (standard),negative_stance,0.8289,0.5997,76
GPT-4o (standard),executed_alternative,0.5921,0.2826,76
GPT-4o (standard),alternative_offer,0.5789,0.2692,76
GPT-4o (standard),normative_suggestion,0.8158,0.5522,76
GPT-4o (standard),statement_of_principle,0.9605,0.0,76
GPT-4o (standard),role_based,0.9474,0.5766,76
"GPT-5.3 (reasoning, high)",explicit_nc,0.9737,0.7361,76
"GPT-5.3 (reasoning, high)",implicit_nc,0.9737,0.7361,76
"GPT-5.3 (reasoning, high)",apology,0.9737,0.9242,76
"GPT-5.3 (reasoning, high)",hedge,1.0,1.0,76
"GPT-5.3 (reasoning, high)",explanatory_preface,0.9605,0.5512,76
"GPT-5.3 (reasoning, high)",positive_alignment,0.9737,0.7361,76
"GPT-5.3 (reasoning, high)",solidarity,0.9474,0.6415,76
"GPT-5.3 (reasoning, high)",negative_stance,0.8947,0.745,76
"GPT-5.3 (reasoning, high)",executed_alternative,0.8816,0.7047,76
"GPT-5.3 (reasoning, high)",alternative_offer,0.8684,0.7331,76
"GPT-5.3 (reasoning, high)",normative_suggestion,0.8158,0.5267,76
"GPT-5.3 (reasoning, high)",statement_of_principle,0.9342,0.252,76
"GPT-5.3 (reasoning, high)",role_based,0.9474,0.5766,76
GPT-5.5 (standard),explicit_nc,0.9733,0.7857,75
GPT-5.5 (standard),implicit_nc,0.9733,0.7857,75
GPT-5.5 (standard),apology,0.9733,0.9239,75
GPT-5.5 (standard),hedge,1.0,1.0,75
GPT-5.5 (standard),explanatory_preface,0.9467,0.5763,75
GPT-5.5 (standard),positive_alignment,0.9333,0.0,75
GPT-5.5 (standard),solidarity,0.9733,0.8428,75
GPT-5.5 (standard),negative_stance,0.9333,0.8515,75
GPT-5.5 (standard),executed_alternative,0.76,0.4714,75
GPT-5.5 (standard),alternative_offer,0.9467,0.8843,75
GPT-5.5 (standard),normative_suggestion,0.6933,0.3757,75
GPT-5.5 (standard),statement_of_principle,0.9733,0.7368,75
GPT-5.5 (standard),role_based,0.96,0.7074,75
GPT-5.5 (reasoning),explicit_nc,0.9836,0.8802,61
GPT-5.5 (reasoning),implicit_nc,0.9836,0.8802,61
GPT-5.5 (reasoning),apology,0.9672,0.8963,61
GPT-5.5 (reasoning),hedge,1.0,1.0,61
GPT-5.5 (reasoning),explanatory_preface,0.9344,0.3029,61
GPT-5.5 (reasoning),positive_alignment,0.9344,0.3146,61
GPT-5.5 (reasoning),solidarity,1.0,1.0,61
GPT-5.5 (reasoning),negative_stance,0.918,0.8116,61
GPT-5.5 (reasoning),executed_alternative,0.7541,0.4714,61
GPT-5.5 (reasoning),alternative_offer,0.9836,0.9623,61
GPT-5.5 (reasoning),normative_suggestion,0.7377,0.4786,61
GPT-5.5 (reasoning),statement_of_principle,0.9672,0.4874,61
GPT-5.5 (reasoning),role_based,0.9836,0.8802,61
"GPT-5.5 (reasoning, high)",explicit_nc,1.0,1.0,76
"GPT-5.5 (reasoning, high)",implicit_nc,1.0,1.0,76
"GPT-5.5 (reasoning, high)",apology,0.9737,0.9242,76
"GPT-5.5 (reasoning, high)",hedge,1.0,1.0,76
"GPT-5.5 (reasoning, high)",explanatory_preface,0.9737,0.737,76
"GPT-5.5 (reasoning, high)",positive_alignment,0.9737,0.7361,76
"GPT-5.5 (reasoning, high)",solidarity,1.0,1.0,76
"GPT-5.5 (reasoning, high)",negative_stance,0.9342,0.8494,76
"GPT-5.5 (reasoning, high)",executed_alternative,0.8684,0.678,76
"GPT-5.5 (reasoning, high)",alternative_offer,0.8421,0.6842,76
"GPT-5.5 (reasoning, high)",normative_suggestion,0.6447,0.3643,76
"GPT-5.5 (reasoning, high)",statement_of_principle,0.9605,0.6481,76
"GPT-5.5 (reasoning, high)",role_based,0.9737,0.8195,76
"GPT-5.5 (standard, v2 run)",explicit_nc,0.9429,0.6364,70
"GPT-5.5 (standard, v2 run)",implicit_nc,0.9429,0.6364,70
"GPT-5.5 (standard, v2 run)",apology,0.9714,0.9223,70
"GPT-5.5 (standard, v2 run)",hedge,1.0,1.0,70
"GPT-5.5 (standard, v2 run)",explanatory_preface,0.9429,0.5745,70
"GPT-5.5 (standard, v2 run)",positive_alignment,0.9714,0.6535,70
"GPT-5.5 (standard, v2 run)",solidarity,0.9857,0.9153,70
"GPT-5.5 (standard, v2 run)",negative_stance,0.9,0.7528,70
"GPT-5.5 (standard, v2 run)",executed_alternative,0.8286,0.5946,70
"GPT-5.5 (standard, v2 run)",alternative_offer,0.9571,0.9075,70
"GPT-5.5 (standard, v2 run)",normative_suggestion,0.5714,0.2739,70
"GPT-5.5 (standard, v2 run)",statement_of_principle,1.0,1.0,70
"GPT-5.5 (standard, v2 run)",role_based,0.9286,0.4108,70
"GPT-5.5 (reasoning, v2 run)",explicit_nc,0.9859,0.8815,71
"GPT-5.5 (reasoning, v2 run)",implicit_nc,0.9859,0.8815,71
"GPT-5.5 (reasoning, v2 run)",apology,0.9718,0.9227,71
"GPT-5.5 (reasoning, v2 run)",hedge,1.0,1.0,71
"GPT-5.5 (reasoning, v2 run)",explanatory_preface,0.9859,0.6603,71
"GPT-5.5 (reasoning, v2 run)",positive_alignment,0.9577,0.0,71
"GPT-5.5 (reasoning, v2 run)",solidarity,1.0,1.0,71
"GPT-5.5 (reasoning, v2 run)",negative_stance,0.9437,0.8609,71
"GPT-5.5 (reasoning, v2 run)",executed_alternative,0.8451,0.6335,71
"GPT-5.5 (reasoning, v2 run)",alternative_offer,0.9577,0.9097,71
"GPT-5.5 (reasoning, v2 run)",normative_suggestion,0.5915,0.298,71
"GPT-5.5 (reasoning, v2 run)",statement_of_principle,1.0,1.0,71
"GPT-5.5 (reasoning, v2 run)",role_based,0.9859,0.9015,71
o4-mini (reasoning),explicit_nc,0.9867,0.7934,75
o4-mini (reasoning),implicit_nc,0.9867,0.7934,75
o4-mini (reasoning),apology,0.9733,0.9239,75
o4-mini (reasoning),hedge,1.0,1.0,75
o4-mini (reasoning),explanatory_preface,0.9467,0.5763,75
o4-mini (reasoning),positive_alignment,0.9733,0.6544,75
o4-mini (reasoning),solidarity,1.0,1.0,75
o4-mini (reasoning),negative_stance,0.8133,0.6212,75
o4-mini (reasoning),executed_alternative,0.7733,0.5029,75
o4-mini (reasoning),alternative_offer,0.8667,0.7323,75
o4-mini (reasoning),normative_suggestion,0.8133,0.537,75
o4-mini (reasoning),statement_of_principle,0.9733,0.4898,75
o4-mini (reasoning),role_based,0.9333,0.4204,75
Ensemble (majority vote),explicit_nc,0.9857,0.8814,70
Ensemble (majority vote),implicit_nc,0.9857,0.8814,70
Ensemble (majority vote),apology,0.9714,0.9223,70
Ensemble (majority vote),hedge,1.0,1.0,70
Ensemble (majority vote),explanatory_preface,0.9857,0.7929,70
Ensemble (majority vote),positive_alignment,0.9714,0.6535,70
Ensemble (majority vote),solidarity,1.0,1.0,70
Ensemble (majority vote),negative_stance,0.9286,0.8279,70
Ensemble (majority vote),executed_alternative,0.8429,0.6207,70
Ensemble (majority vote),alternative_offer,0.9571,0.9075,70
Ensemble (majority vote),normative_suggestion,0.5857,0.2897,70
Ensemble (majority vote),statement_of_principle,1.0,1.0,70
Ensemble (majority vote),role_based,0.9857,0.9014,70
