judge_result,feature,accuracy,kappa,n,match
gpt53_currentprompt,explicit_nc,0.9736842105263158,0.7361111111111115,76,74
gpt53_currentprompt,implicit_nc,0.9736842105263158,0.7361111111111115,76,74
gpt53_currentprompt,apology,0.9736842105263158,0.9242273180458626,76,74
gpt53_currentprompt,hedge,1.0,1.0,76,76
gpt53_currentprompt,explanatory_preface,0.9605263157894737,0.5511811023622045,76,73
gpt53_currentprompt,positive_alignment,0.9736842105263158,0.7361111111111115,76,74
gpt53_currentprompt,solidarity,0.9473684210526315,0.6415094339622639,76,72
gpt53_currentprompt,negative_stance,0.8947368421052632,0.7449664429530202,76,68
gpt53_currentprompt,executed_alternative,0.881578947368421,0.7046632124352331,76,67
gpt53_currentprompt,alternative_offer,0.868421052631579,0.7331460674157304,76,66
gpt53_currentprompt,normative_suggestion,0.8157894736842105,0.5266903914590748,76,62
gpt53_currentprompt,statement_of_principle,0.9342105263157895,0.25196850393700804,76,71
gpt53_currentprompt,role_based,0.9473684210526315,0.576601671309192,76,72
gpt55_currentprompt,explicit_nc,1.0,1.0,76,76
gpt55_currentprompt,implicit_nc,1.0,1.0,76,76
gpt55_currentprompt,apology,0.9736842105263158,0.9242273180458626,76,74
gpt55_currentprompt,hedge,1.0,1.0,76,76
gpt55_currentprompt,explanatory_preface,0.9736842105263158,0.7370242214532873,76,74
gpt55_currentprompt,positive_alignment,0.9736842105263158,0.7361111111111115,76,74
gpt55_currentprompt,solidarity,1.0,1.0,76,76
gpt55_currentprompt,negative_stance,0.9342105263157895,0.8494453248811411,76,71
gpt55_currentprompt,executed_alternative,0.868421052631579,0.6779661016949153,76,66
gpt55_currentprompt,alternative_offer,0.8421052631578947,0.6842105263157894,76,64
gpt55_currentprompt,normative_suggestion,0.6447368421052632,0.3643122676579925,76,49
gpt55_currentprompt,statement_of_principle,0.9605263157894737,0.6481481481481478,76,73
gpt55_currentprompt,role_based,0.9736842105263158,0.8194774346793351,76,74
