label,"GPT-5.3, reasoning","GPT-5.5, non-reasoning"
Layer 0 action,0.886 (100/100),0.857 (100/100)
Layer 1 rationale,0.777 (77/77),0.859 (77/77)
Explicit non-compliance,0.850 (76/77),0.882 (77/77)
Implicit non-compliance,0.850 (76/77),0.882 (77/77)
Apology / regret,0.924 (76/77),0.925 (77/77)
Hedge / epistemic softener,N/A (76/77),N/A (77/77)
Explanatory preface,0.380 (76/77),0.551 (77/77)
Positive alignment,0.850 (76/77),0.646 (77/77)
Solidarity / empathy,0.749 (76/77),0.926 (77/77)
Negative stance,0.767 (76/77),0.791 (77/77)
Executed alternative,0.580 (76/77),0.605 (77/77)
Alternative offer,0.684 (76/77),0.916 (77/77)
Normative suggestion,0.290 (76/77),0.585 (77/77)
Statement of principle,-0.033 (76/77),0.648 (77/77)
Role-based self-positioning,0.708 (76/77),0.708 (77/77)
