comparison,a,b,n_nc_a,n_nc_b,nc_rate_a,nc_rate_b,nc_rate_diff,mean_abs_l2_diff,max_feature,max_feature_diff
size,llama-3.1-8b,llama-3.1-70b,183,154,0.9195979899497487,0.7738693467336684,0.14572864321608037,0.024377262082180114,alternative_offer,0.06277056277056281
size,qwen3-8b,qwen3-32b,136,126,0.6834170854271356,0.6395939086294417,0.043823176797693986,0.08675393234216765,apology,0.47140522875817
size,qwen3-8b-reasoning,qwen3-32b-reasoning,134,123,0.6767676767676768,0.6180904522613065,0.05867722450637025,0.06818160604108911,apology,0.44624438781701253
reasoning,claude-opus-4.6,claude-opus-4.6-reasoning,171,170,0.8814432989690721,0.8762886597938144,0.005154639175257714,0.013577306766161262,normative_suggestion,0.04874441004471963
reasoning,gpt-5.3,gpt-5.3-reasoning,175,177,0.8793969849246231,0.8939393939393939,-0.014542409014770774,0.008783758614267103,normative_suggestion,0.039580306698950796
reasoning,qwen3-8b,qwen3-8b-reasoning,136,134,0.6834170854271356,0.6767676767676768,0.006649408659458844,0.016504018369690003,alternative_offer,0.05125109745390688
reasoning,qwen3-32b,qwen3-32b-reasoning,126,123,0.6395939086294417,0.6180904522613065,0.02150345636813511,0.04014413770511332,normative_suggestion,0.13356562137049943
temporal,gpt-4o,gpt-5,157,176,0.785,0.8888888888888888,-0.10388888888888881,0.21091766513741037,executed_alternative,0.5947090330052114
temporal,gpt-5,gpt-5.3,176,175,0.8888888888888888,0.8793969849246231,0.009491903964265691,0.09331918081918084,apology,0.3577272727272727
temporal,gpt-4o,gpt-5.3,157,175,0.785,0.8793969849246231,-0.09439698492462312,0.248763211310982,apology,0.8963057324840764
temporal,claude-opus-3,claude-sonnet-3.7,185,169,0.9438775510204082,0.8535353535353535,0.09034219748505468,0.11947003899666621,apology,0.5008475931552855
temporal,claude-sonnet-3.7,claude-opus-4.6,169,171,0.8535353535353535,0.8814432989690721,-0.02790794543371866,0.12675445250966894,apology,0.3847537977092633
temporal,claude-opus-3,claude-opus-4.6,185,171,0.9438775510204082,0.8814432989690721,0.062434252051336014,0.16199681462839358,apology,0.8856013908645488
closed_family,gpt-5.3,grok-4.20,175,141,0.8793969849246231,0.7790055248618785,0.10039146006274469,0.07768061725508534,alternative_offer,0.291144883485309
closed_family,claude-opus-4.6,gpt-5.3,171,175,0.8814432989690721,0.8793969849246231,0.0020463140444489936,0.06549964655227813,negative_stance,0.21884711779448618
closed_family,claude-opus-4.6,gemini-2.5-pro,171,110,0.8814432989690721,0.6145251396648045,0.26691815930426765,0.17377008955956322,role_based,0.6759702286018074
closed_family,claude-opus-4.6,grok-4.20,171,141,0.8814432989690721,0.7790055248618785,0.10243777410719368,0.069725596041385507,apology,0.2365310439218614
closed_family,gemini-2.5-pro,gpt-5.3,110,175,0.6145251396648045,0.8793969849246231,-0.26487184525981866,0.2071928071928072,alternative_offer,0.7241558441558442
closed_family,gemini-2.5-pro,grok-4.20,110,141,0.6145251396648045,0.7790055248618785,-0.16448038519707397,0.1854585131180876,role_based,0.6534493874919406
