label,Claude Opus 4.8,GPT-5.5
Layer 0 action,0.848 (95/100),0.857 (100/100)
Layer 1 rationale,0.808 (73/77),0.859 (77/77)
Explicit non-compliance,0.882 (72/77),0.882 (77/77)
Implicit non-compliance,0.882 (72/77),0.882 (77/77)
Apology / regret,0.959 (72/77),0.925 (77/77)
Hedge / epistemic softener,0.000 (72/77),N/A (77/77)
Explanatory preface,-0.019 (72/77),0.551 (77/77)
Positive alignment,0.489 (72/77),0.646 (77/77)
Solidarity / empathy,0.926 (72/77),0.926 (77/77)
Negative stance,0.880 (72/77),0.791 (77/77)
Executed alternative,0.780 (72/77),0.605 (77/77)
Alternative offer,0.942 (72/77),0.916 (77/77)
Normative suggestion,0.237 (72/77),0.585 (77/77)
Statement of principle,1.000 (72/77),0.648 (77/77)
Role-based self-positioning,0.647 (72/77),0.708 (77/77)
