model,explicit_nc,implicit_nc,apology,hedge,explanatory_preface,positive_alignment,solidarity,negative_stance,executed_alternative,alternative_offer,normative_suggestion,statement_of_principle,role_based,n_nc,in_submitted_pdf
GPT-4o,90,10,94,0,1,0,7,4,7,4,4,1,0,157,True
GPT-5,98,2,40,0,0,1,14,55,66,52,40,2,1,176,True
GPT-5.3,98,2,4,0,0,2,7,61,39,85,50,1,0,175,True
GPT-5.3-R,99,1,3,0,1,1,8,59,39,85,46,1,0,177,True
Sonnet 3.7,80,20,40,0,12,25,15,88,42,76,54,4,8,169,True
Sonnet 4.6,96,4,0,0,7,5,14,78,35,56,25,1,1,159,True
Opus 4.6,99,1,1,0,1,3,21,82,44,71,29,1,1,171,True
Opus 4.6-R,100,0,0,0,0,2,25,84,45,69,34,1,1,170,True
Gemini 2.5 Pro,95,5,4,0,13,8,35,91,67,13,44,12,68,110,True
Grok 4.20,94,6,25,0,0,0,11,78,33,56,38,1,3,141,True
Llama-8B,98,2,0,0,0,0,5,11,7,33,0,0,0,183,True
Llama-70B,93,7,0,0,3,5,4,10,5,40,2,0,0,154,True
Qwen3-8B,69,31,14,0,7,1,15,84,59,57,57,17,10,136,True
Qwen3-8B-R,66,34,17,0,6,1,16,84,57,51,60,18,10,134,True
Qwen3-32B,78,22,61,0,5,1,20,72,45,52,48,19,10,126,True
Qwen3-32B-R,74,26,62,0,1,0,19,81,52,54,61,25,9,123,True
Opus 3,79,21,90,0,0,1,15,86,17,55,44,6,4,185,False
