feature,paper_acc,paper_kappa,gpt55_nonreas_acc,gpt55_nonreas_kappa,gpt53_reas_acc,gpt53_reas_kappa,n_gpt55,n_gpt53
explicit_nc,98.7,0.882,97.4,0.7861,97.37,0.7361,77,76
implicit_nc,98.7,0.882,97.4,0.7861,97.37,0.7361,77,76
apology,97.4,0.925,97.4,0.9245,97.37,0.9242,77,76
hedge,100.0,,100.0,1.0,100.0,1.0,77,76
explanatory_preface,96.1,0.552,96.1,0.6484,96.05,0.5512,77,76
positive_alignment,96.1,0.646,97.4,0.7861,97.37,0.7361,77,76
solidarity,98.7,0.926,98.7,0.9262,94.74,0.6415,77,76
negative_stance,90.9,0.791,90.91,0.7905,89.47,0.745,77,76
executed_alternative,83.1,0.605,84.42,0.6292,88.16,0.7047,77,76
alternative_offer,96.1,0.917,83.12,0.6635,86.84,0.7331,77,76
normative_suggestion,80.5,0.585,67.53,0.3945,81.58,0.5267,77,76
statement_of_principle,96.1,0.648,94.81,0.3063,93.42,0.252,77,76
role_based,96.1,0.708,97.4,0.8429,94.74,0.5766,77,76
